EPICID Teff logg
205919478.000000 3572.991000 4.637000
212170075.000000 4205.121600 4.662900
211344953.000000 3551.978800 4.734400
249114983.000000 4182.111300 4.322900
246777702.000000 4014.198500 4.724200
210399309.000000 4136.621600 4.674400
220196438.000000 4216.854000 4.437900
213268037.000000 3755.598400 4.674200
202826247.000000 3509.391600 4.231800
210468664.000000 3474.275400 4.830000
211318063.000000 3402.703600 4.129900
201405299.000000 4226.569300 4.215300
211392747.000000 4112.006000 4.631500
201376427.000000 4123.487300 4.671200
212228581.000000 4210.899400 4.516500
228748525.000000 3516.509800 4.695500
201347904.000000 4223.141600 4.444700
212290861.000000 3686.084500 4.337400
220256428.000000 3802.561300 4.660300
220242130.000000 3732.844000 4.737200
248430449.000000 3900.776000 4.645200
212304015.000000 3442.854200 4.740500
228736606.000000 3827.293000 4.688200
211516068.000000 3698.765600 4.739500
205997673.000000 4196.365700 4.667100
202067579.000000 3663.763400 4.771100
212300748.000000 4061.451000 4.441300
213576474.000000 3389.146500 4.668000
202895965.000000 3511.802500 4.571800
213665792.000000 4211.768600 4.693900
213516578.000000 4144.609400 4.624600
212885050.000000 4249.232000 4.504100
246720622.000000 4045.500000 4.668200
211308355.000000 4177.169000 4.563400
213776382.000000 3609.005900 4.485900
220272078.000000 4199.093800 4.550400
212315336.000000 3989.592500 4.680700
210355954.000000 3576.808000 4.302700
245935868.000000 4248.667500 4.644900
246766160.000000 3578.693600 4.788300
210463428.000000 3718.545200 4.719000
228712244.000000 4222.701000 4.377200
212317551.000000 3702.526100 4.475500
246923957.000000 4227.996600 4.651700
202880081.000000 3558.130400 4.001700
245948398.000000 4133.087400 4.485700
220222001.000000 3726.247000 4.715400
245973053.000000 3531.768600 4.828700
245930854.000000 3847.514600 4.749400
248528996.000000 3601.655000 4.395300
249178626.000000 3143.204300 4.508900
201913498.000000 3699.945600 4.518400
251399646.000000 4196.317000 4.660400
202068476.000000 3522.764200 4.681100
202081131.000000 4113.564000 4.424600
202084778.000000 3801.129400 4.631500
211351293.000000 3489.850800 4.402700
210440093.000000 3326.084700 4.604200
212271222.000000 4243.986300 4.574400
203036352.000000 3418.084000 4.411600
246016443.000000 3655.640600 4.512800
202081153.000000 3889.831300 4.722300
