EPIC ID,RAdeg,DEdeg,Teff,logg
240443295,263.42365615253,-29.34454105532,4691.6304,2.4937
251574105,200.36449607307,-1.87813267279,,
246784423,75.05006232871,15.5719139997,5462.764,3.978
251406960,138.06012018306,25.18767597063,7537.69,4.0584
211308371,133.93843629104,10.01946422641,5598.973,3.8763
212195450,132.89631095376,24.15557014776,5711.3394,4.3985
202059403,101.53426112868,16.59862183614,,
202060684,96.3149639391,14.45544440518,11222.813,3.611
202061363,96.18200333652,14.32538846904,7097.0215,2.507
202062481,103.62815973871,15.50703106548,9630.657,4.375
202065475,100.76792264869,15.06202927766,4306.2974,1.6372
202072378,98.2188563149,16.10519550013,8765.933,4.0522
202072466,102.06860638126,16.59973709443,8614.201,4.0464
202072468,102.96945215589,15.86476979971,11375.642,4.1424
202072544,102.12298759591,16.23917234714,,
202086829,100.47721593278,15.45222709039,5955.0303,4.2795
202087703,99.19289289059,15.78343783755,5995.351,3.7063
202087740,102.20695108639,16.09802636878,6065.2153,3.6249
202087814,103.37799785332,16.46365202834,5887.4473,4.1049
202089811,103.02893463169,15.54757919893,6068.0396,4.0773
202089859,101.4148035544,15.26709124743,6116.451,4.2896
202090905,98.82439839907,16.37832699391,6093.423,4.1583
202091448,91.81174099852,17.55120783343,,
202093875,94.97249677176,16.92428065949,6517.4663,4.1221
202094264,97.5159393786,15.11426484756,6409.04,4.1468
202094286,100.63995065148,15.28902927438,6302.6523,4.1185
202095147,102.45738058404,16.79008118506,6561.7754,3.964
202127095,100.34865917785,15.83845598917,,
202127096,99.26239203176,15.68337580009,4801.6636,2.479
202127109,100.64638235516,15.25494705204,4945.683,3.5855
202127184,99.65709271767,15.90206785509,,
202127185,100.62028133403,15.44737066262,4449.338,2.1071
202127191,99.79668281953,15.4719072522,5591.81,3.3809
202127310,101.92177163305,16.59160956662,,
202127430,103.16261535667,16.9121847354,5445.4814,2.9526
202127597,95.62489993744,16.12782839189,5282.794,2.7393
202127697,95.28617367207,15.07099372269,5046.719,2.6714
228750367,181.82427719387,-8.90543345982,5560.546,4.0168
246013024,354.81738117423,-9.15146565187,7496.736,4.0145
248529784,153.94236013849,4.01506179739,6720.0767,4.0549
249184284,229.62511808187,-25.87535223376,5067.076,3.5475
233283480,257.0626435269,-30.47052143215,,
246628676,73.20679675141,13.61791409601,5573.195,3.3455
249155366,230.01939481556,-26.24443511841,,
248423978,160.89676846364,0.50013112969,6208.3423,4.0848
201127502,176.26119415294,-5.84849922862,6057.7114,4.2896
235729175,261.13687535274,-29.53653721167,,
211431042,128.10756774042,12.1097451445,7344.44,3.803
233251987,257.25557834744,-30.59907245793,,
246832695,74.79325317488,16.08516872937,,
248418394,162.25914265535,0.29058465608,5802.6655,4.3349
212171310,134.01036379934,23.51917415238,,
251551469,203.05542537429,-2.34309417226,6048.633,4.2213
