EPIC_ID,TIC_ID,RA,DEC,(BP-RP)_0,Amag,Dist,Plx,Gmag,AG,BP-RP,E(BP-RP),Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase
201141265,TIC 49456039,174.528748,-5.508496,1.86176,7.523710671724197,383.4502856704629,2.6079,15.888656,0.4464,2.12046,0.2587,3880.4,4.53,1,24.562725504984428,0.18750141367945616,0.18750141367945616,0.18750141367945616,29.692673683166504,29.692673683166504,29.692673683166504
206025147,TIC 146163861,342.002793,-14.098354,2.1748000000000003,8.606377798540775,250.02500250025005,3.9996,16.073395,0.4771,2.4729,0.2981,3625.6,4.6709,6,105.63440516685273,0.04591043468705417,0.10416715753535755,0.009258784751636995,1139.226581652959,6471.897125244141,30.1682710647583
211519108,TIC 186812891,124.371921,13.408315,1.942317,8.276739484306137,315.1790216843167,3.1728,15.769526,0.0,1.942317,0.0,nan,nan,20,149.3570337896681,0.06354710952535925,0.1875050126534461,0.009260087434086017,10160.531523823738,160349.74365234375,8.679366111755371
220225119,TIC 344242868,21.963913,0.887147,1.479857,7.0931886292281074,449.86279184848615,2.2229,15.537289,0.1787,1.575157,0.0953,4287.6,4.4436,0,102.16800640278825,0.0,0,0,0.0,0,0
228742214,TIC 98582717,184.963645,-9.27766,2.277439,9.050932428788458,234.2743352465737,4.2685,16.549356,0.6498,2.692739,0.4153,3515.0,4.7542,0,24.999564711710264,0.0,0,0,0.0,0,0
220177289,TIC 269593972,16.137753,-0.896537,2.266125,10.037190919483567,137.61026022100208,7.2669,16.341145,0.6107,2.648225,0.3821,3450.4,4.917,0,47.54198782657227,0.0,0,0,0.0,0,0
228723847,TIC 98594177,185.327935,-10.166214,2.244614,10.736735673869305,112.01971546992272,8.927,16.623108,0.6399,2.642714,0.3981,3422.3,5.0176,2,24.99959424057738,0.28124942805152386,0.41666829601194877,0.14583056009109896,6.319087743759155,8.938300609588623,3.6998748779296875
248412004,TIC 318090572,161.437641,0.026447,2.009993,8.165879489749873,303.951367781155,3.29,15.9917,0.4118,2.253693,0.2437,3696.7,4.5842,5,99.62296060129552,0.4611159121856872,1.2291448842117916,0.034725092777080135,3731.61278963089,12426.641845703125,51.26899480819702
212287347,TIC 357531880,203.892456,-17.916483,1.06709,6.010524921140817,865.8008658008658,1.155,15.850115,0.1525,1.14889,0.0818,4911.4,4.4864,0,25.00043122996908,0.0,0,0,0.0,0,0
228712878,TIC 380255731,188.058448,-10.710791,1.110629,6.297894753097246,724.4277021153288,1.3804,15.66047,0.0626,1.143829,0.0332,4870.8,4.5457,2,24.999707812781935,0.23958282440514722,0.2500022841702503,0.22916336464004416,0.6303608417510986,0.8910417556762695,0.36967992782592773
205917153,TIC 188569952,339.044576,-17.530374,1.547239,6.868791095811359,583.975706610605,1.7124,15.890865,0.1901,1.649539,0.1023,4209.1,4.3632,0,54.707501766618634,0.0,0,0,0.0,0,0
211430777,TIC 21221912,129.08688,12.105738,1.7651089999999998,8.486517883842067,246.97456162015308,4.049,15.890779,0.441,2.011109,0.246,3837.5,4.6836,12,123.12565638404999,0.05980506177475794,0.180573824512976,0.01852014518863143,1342.894474665324,3693.720245361328,28.029251098632812
211479529,TIC 386588868,123.917483,12.843636,2.395995,9.021315497875552,245.56750650753887,4.0722,16.46207,0.4899,2.715395,0.3194,3368.4,4.4185,1,48.83375356227839,0.1666710328474892,0.1666710328474892,0.1666710328474892,2.57413387298584,2.57413387298584,2.57413387298584
211515770,TIC 60255938,125.002542,13.361393,2.352973,9.459061515059725,202.0365282042993,4.9496,15.986211,0.0,2.352973,0.0,nan,nan,44,149.35708553231984,0.11317359167760928,1.3404143803331863,0.00926001378957153,1805.0920979543166,33695.10498046875,14.55463171005249
228709956,TIC 429344592,188.489883,-10.860373,1.615059,7.833011969252475,304.5623439117988,3.2834,15.756293,0.5049,1.889059,0.274,4097.8,4.6927,1,25.041393995069484,0.10416762645354538,0.10416762645354538,0.10416762645354538,45.87209224700928,45.87209224700928,45.87209224700928
228738424,TIC 176942943,183.989684,-9.454952,1.497552,6.6761940482201165,611.0601894286586,1.6365,15.766514,0.1599,1.583052,0.0855,4250.8,4.2952,1,24.99953099437198,0.1041644186452686,0.1041644186452686,0.1041644186452686,18.412113189697266,18.412113189697266,18.412113189697266
201175717,TIC 173163058,173.101036,-4.679639,1.534063,7.196562563936059,397.4878766197632,2.5158,15.621782,0.4286,1.764163,0.2301,4255.1,4.5788,18,100.14573118536305,0.28949991931842256,1.8473857339422466,0.011574998834930739,124.33008750279744,593.2329177856445,11.855673789978027
220171406,TIC 269591754,15.933992,-1.143941,2.335283,10.623978348198255,119.27480916030534,8.384,16.528322,0.5216,2.663383,0.3281,3402.4,4.9942,0,47.54197791977754,0.0,0,0,0.0,0,0
220185586,TIC 248387119,19.10799,-0.561027,2.557198,10.017569510977808,198.4205722449304,5.0398,16.505503,0.0,2.557198,0.0,nan,nan,0,47.54208755733225,0.0,0,0,0.0,0,0
228755796,TIC 176942794,183.923796,-8.663982,1.679323,7.411384430758963,363.9937393076839,2.7473,15.670154,0.4533,1.930923,0.2516,4109.0,4.507,10,50.076273590970686,0.0930548500494524,0.16666292529703242,0.027778051684435923,83.44120860099792,373.3592987060547,7.837474346160889
201161738,TIC 173102170,172.3112,-5.015104,1.431618,6.917487524256627,448.8934775777708,2.2277,15.587304,0.4091,1.647618,0.216,4412.7,4.6107,1,24.562631124634436,0.41666835689125037,0.41666835689125037,0.41666835689125037,84.5749020576477,84.5749020576477,84.5749020576477
212374635,TIC 335010056,201.225677,-15.513549,1.622887,6.832441526335808,511.8231139318252,1.9538,15.948341,0.5703,1.936387,0.3135,4141.3,4.5036,0,25.000293834544664,0.0,0,0,0.0,0,0
228722851,TIC 176878712,183.135331,-10.213522,1.955873,9.411132301901244,181.08068955526585,5.5224,16.250393,0.5499,2.274373,0.3185,3675.3,4.8344,3,24.999512415051186,0.10416499477908776,0.12499719982838542,0.08333108161764358,53.60634724299113,92.99212694168091,9.94187593460083
