EPIC_ID TIC_ID
211370010 444005912
246818039 436678647
203015557  68164488
228705808 380198227
228717527  98668308
246741756 436651598
202903218 175831316
210456015 389117862
201172543  49427341
203057956  68405083
201164295  49419255
251602511  66733702
237990157 156554598
228719035 176940644
246696804 436591296
212275301 286961541
251628230  66779859
210376109 243015318
202642998 383171684
245944681  49687057
201097883 152701483
231478973  23890534
246704292 436577052
212290360 270419305
251562927 114982350
210402455 389043261
249251778  48626245
251384002 243245686
202976647 175591332
229409753  15907896
205973440 240810478
245910293 434097052
249154730  48559318
201908756 350516141
213461346 108515862
246780678 436648121
249187555 226028654
220235168 369493491
245949656  49783694
202748933 205711529
246771958 436658862
228731606 380196353
201151359  82071590
211376143 459055638
201164031  49465016
212875806 157839328
210455478 434230605
246758642 293889483
202733661 323021930
249117921 388734737
228704734 429301837
245945743  49783667
245933051   4602717
202797097 175697498
202625223  67821302
210364503 435340174
246805167 436651183
202059330 434367160
202617471  68257329
211376702 366623285
251557128 114985116
246714254 303676798
212342782 294301568
211370240 444005911
228748488 176939067
210451815 435904032
210324940 415389321
212292519 422327572
202789117 205239231
246709321 245823003
220180985 248343096
246913595 411698132
249131020  23687243
212284310 286942732
242184803 106480753
211341477 458682748
246821686 245951015
202913758 318435904
210326472 311148863
210416434 243007962
212340257 422350278
205946992  12784845
202861435 205371961
211387918 458655944
205985004 240720896
211308485 468984206
228768373 152852456
251403762 126313893
210451931 434228822
202059318 336993343
205904274 206546422
249204559 388735695
229156334 291160181
246854021 436613563
251563796 157858731
211414200 366576742
251378294 243245859
211491918  27679101
202922644 323181313
235811430  82658890
213247234  30505246
211331324 366528716
220296786 344299633
229147321 286362796
237880849 158345538
249252625 388736238
211328172 443970940
249166468  48664045
201244712  38143347
210421405 242885753
212281775 203378754
240372532 187145041
246807261 245835422
248432941 277888583
205925807 409119487
220179846 269504859
210346490 242985215
246907677 293610338
251404071 138665030
205957093 240849778
228750193  98581371
212306203 392467554
210415282 348662485
211385284 437034592
212317924 334995011
212190805 117357818
248428765 374268503
