EPIC_ID,TIC_ID,Teff_k,Teff_t,logg_k,logg_t,RA,DEC
228744917,152868661,4199.864,3598.94,4.5868,4.2,182.36692712634,-9.15189852701
211519237,27630130,3313.464,3969.75,4.9273,4.37,123.15391792715,13.40986973702
211307660,366569064,4057.239,3847.3,4.6733,4.47,127.76374131588,10.00544336518
220232200,399735570,3614.9526,4132.32,4.6136,4.67,21.49267469452,1.13131215159
249101572,186695607,3488.642,3360.44,4.8554,4.97,233.50605228452,-26.90675422497
211426339,21273608,4060.9692,3402.19,4.6986,4.47,129.56156458457,12.03600122068
205912386,12784558,3473.4,3414.08,4.9225,4.82,337.55299273492,-17.70962740185
202085297,307475217,4089.6013,3482.19,4.6233,4.72,98.88965287591,16.33136660944
202135853,306607547,3466.7173,3678.69,4.0021,4.65,97.72023332944,15.22629423071
211357190,366658144,3773.6135,3503.47,4.627,4.81,133.92689621385,10.94261428062
228759869,152830089,3753.2034,4201.48,4.7846,4.49,181.96035707749,-8.48811988156
211408841,444001056,3704.3335,3374.29,4.6839,4.99,131.33722897829,11.77568448992
211333549,366410896,3558.5913,3866.97,4.4073,4.66,126.50256231003,10.51261900088
248429400,374314800,4105.465,3555.7,4.6389,4.61,160.39659940584,0.71030858827
220202259,344771774,3640.68,3669.12,4.4548,4.75,17.03574804546,0.07798961433
246915239,293470507,3470.72,3541.89,4.8582,4.76,76.37898033994,16.90071007225
251620682,114959349,3686.2563,4110.67,4.6276,4.65,201.0396812689,-0.79334130986
220232535,380907410,3924.1294,3386.57,4.582,4.95,19.55228672357,1.14322369599
201283422,38139580,3683.0645,3783.84,4.8142,4.58,170.61499725138,-2.70167393799
210384192,435332935,4087.752,3734.53,4.4975,4.66,54.91582500546,13.09533102852
211402150,443970291,3742.6501,3902.63,4.6363,4.48,130.8419590069,11.67348073762
220153480,248351141,3428.0586,3660.08,4.8747,4.75,17.3696322916,-1.76798966953
248431552,277914069,3882.6907,4232.17,4.6601,4.65,157.56779125778,0.79158718719
245992995,8919290,4147.195,4033.31,4.6801,4.69,354.03775203323,-9.66352823037
210329711,345457584,3437.8435,4192.87,4.9709,4.58,58.36197819647,11.64362683101
202587982,323015924,3577.7273,3291.17,4.2586,4.88,245.3585002429,-29.11339048888
212221986,126277741,3774.7449,4104.45,4.4732,4.66,133.87584845382,25.02055355128
202081526,307127614,3973.8215,3593.41,4.7257,4.36,98.42190016336,14.8903200114
205980065,240812294,4131.089,3817.68,4.6936,4.2,340.67991760206,-15.41934965442
245958685,8962243,4205.8975,3590.31,4.6752,4.74,354.43670757726,-10.59313720458
211374549,468988150,3404.215,3549.94,4.8694,4.3,128.93591759791,11.23167008979
251556906,130726564,3898.9497,3581.08,4.3978,4.46,203.64492397626,-2.2293671352
210361757,59039389,3486.739,4145.84,4.815,4.65,57.519115537,12.53763497369
251376454,85991333,4131.298,4214.67,4.6875,4.51,138.29066389083,23.18805240162
211378687,366623273,3686.0964,4113.63,4.1987,4.68,128.23400321845,11.30063995261
220186649,248353827,3780.9604,3617.34,4.6945,4.69,17.72318069981,-0.51766294617
201260636,38139521,3625.2432,4066.05,4.8227,4.64,170.52501428598,-3.04811496613
202813658,205760699,3717.9778,3745.39,4.2413,4.2,250.08696348482,-28.26933800772
201140975,82055010,3653.0447,4000.26,4.7019,4.69,176.77593441818,-5.51487930261
228743446,176940423,3881.4248,4244.99,4.6947,4.49,183.67825834696,-9.22224971674
211395279,468992985,3601.9219,4067.1,4.3453,4.45,129.14460430925,11.56870318081
210372126,348662823,3512.9478,3550.39,4.4288,4.51,61.77392949933,12.80306380934
212206519,117220176,4166.6997,3553.34,4.6516,4.52,129.88424825203,24.49022034585
251391693,138708881,3985.2014,4170.54,4.7714,4.56,136.92174095122,24.264196628
228727977,176868991,3623.8145,4002.72,4.2929,4.66,182.77585950912,-9.96337947002
220259414,399670708,3559.9414,3413.77,4.7037,4.42,19.84971759095,1.76396232954
201174640,38141156,3529.5938,3657.41,4.505,4.55,170.68466285711,-4.70594219028
220215323,399702508,3410.5544,4146.8,4.8016,4.7,20.53015587182,0.54308063182
202084234,438519595,3950.1787,3807.09,4.644,4.68,100.69621393163,15.60824960994
211375321,443970622,3435.4495,3694.54,4.8892,4.46,130.9899604447,11.24533618287
228723628,368438569,3530.7817,4184.99,4.6522,4.22,186.96966474512,-10.17709568957
248467000,277810838,3999.8823,3766.04,4.7143,4.61,156.0153956336,2.05682548817
206014402,146366079,3639.291,4136.68,4.0328,4.69,342.18024006345,-14.4101949102
246706378,436706642,3745.1782,3799.08,4.7658,4.67,73.86191529138,14.65331681663
211480727,6992389,4236.1,3372.49,4.623,4.91,126.25872455286,12.86053362519
246708072,389140134,3403.5369,3514.96,4.8237,4.75,75.22150765462,14.6747186912
213462890,2527981,3741.7915,3450.37,4.2955,4.92,289.09792055971,-29.33689340232
220234669,344279511,3569.2131,4122.13,4.7884,4.26,22.2362329432,1.21754452613
220201150,248944632,3768.3699,3567.04,4.7076,4.01,20.2466041981,0.03681408803
201264179,38086750,3794.514,3824.26,4.606,4.67,169.6350866195,-2.99344314288
228767376,176877423,4000.8245,3897.11,4.7144,4.75,182.98682956241,-8.15999360254
201218774,173147467,3961.354,3599.24,4.6488,4.61,173.13322176898,-3.68111023199
228720648,203248702,4128.4185,3903.87,4.6755,4.72,184.61426035813,-10.32080795914
246032593,9698910,4197.0864,3553.57,4.5118,4.69,357.76392724455,-8.65606215013
246832524,411691321,3820.3655,3713.2,4.6744,4.5,78.04766897772,16.0832292972
246015696,9633545,4230.3,3562.75,4.3689,4.76,357.21351925271,-9.08276550018
212212344,126240074,4198.4346,4100.18,4.6442,4.65,133.83155901371,24.68186452954
228728812,380197968,3791.1055,3826.92,4.5322,4.44,187.82869095729,-9.92245340721
220199246,248944625,4118.942,3550.19,4.6915,4.88,20.21904946153,-0.03117363801
245941164,49687088,4000.0447,3556.11,4.6488,4.72,351.6587375875,-11.17052328834
211480470,20419683,3721.8865,4221.57,4.5692,4.59,127.21094732774,12.8567830393
212217647,332108990,3582.3635,3659.88,4.1272,4.72,133.08465877473,24.85961258386
202068113,308254407,3282.9766,3555.36,4.4524,4.68,99.72680174451,17.09291986511
202135114,336994061,3875.2332,3385.64,4.5171,4.89,92.41541984116,16.81259229259
248441185,281660393,3480.5234,4143.95,4.7418,4.34,161.72156839673,1.1512240918
220152532,333607972,3702.8596,4130.07,4.3308,4.69,12.95872808228,-1.80382083085
248456193,374179626,4109.4287,3353.21,4.6347,4.34,157.83425726956,1.69105311086
228714614,98583035,3741.0132,3761.34,4.7708,4.72,184.88586940533,-10.62355473062
201287802,38132721,3556.2869,4136.83,4.8747,4.68,170.30517552044,-2.63334164414
228712872,98628557,3731.0022,3640.03,4.7753,4.39,185.37275875505,-10.7112914111
206024309,111752193,3592.2517,3743.78,4.3534,4.59,343.88387247489,-14.12256407433
210375265,456865281,3951.9573,3836.52,4.629,4.4,57.64506606846,12.87777404548
211500278,6950824,3312.3457,3564.18,4.7378,4.75,125.98346271174,13.14422770034
212299157,392490487,3661.1958,3884.47,4.5725,4.67,205.25365398853,-17.55644679794
210480766,434260443,3381.1592,3642.78,4.9252,4.44,64.21801331378,15.0827314067
220278539,344297459,3539.1829,4246.28,4.0687,4.66,22.68578856321,2.17516048652
228760197,176941689,4157.6265,3664.65,4.2882,4.74,183.87206351043,-8.47414183289
212284993,357616983,3556.5132,3581.34,4.7024,4.62,204.41899632208,-17.98638144176
205942270,12857784,4192.6606,4173.1,4.6523,4.54,338.10863976106,-16.62875848316
228726934,98677024,3813.2644,3425.32,4.722,4.2,186.53774747943,-10.01349127457
228762767,176908789,3549.5032,4233.86,4.6447,4.6,183.28002034005,-8.36126073512
201165795,82049276,4149.737,3414.48,4.6587,4.55,176.09505408571,-4.91932248348
246746614,389135510,4221.5327,3650.4,4.6609,4.86,75.08520412113,15.13981602362
251405783,117508819,4197.029,3647.33,4.6477,4.63,138.2569765182,25.11971900638
228754121,176942811,3612.4072,3525.08,4.746,4.9,183.99398350093,-8.74134347735
206006723,240810542,4037.535,3615.24,4.6736,4.74,340.63209488041,-14.63361838955
212271290,286961189,4126.2227,3802.11,4.678,4.74,206.73306666626,-18.45134770621
220172740,269591772,3512.134,3511.47,4.2101,4.93,16.0126023775,-1.08612142536
210370656,434131860,3489.5117,3521.65,4.7526,4.43,55.78909343714,12.76569798917
231526829,23157629,3474.2734,3978.11,4.556,4.55,257.11577606609,-29.7117006825
220211133,380909768,3612.0483,3639.84,4.708,4.39,19.07193169322,0.3984375717
245998783,8937880,4187.241,3562.87,4.6659,4.64,354.10649215278,-9.51689176239
228747561,98581347,4213.3853,4218.37,4.5563,4.64,184.79137751506,-9.03147053688
201152644,173109284,3726.425,3374.28,4.396,4.47,172.68958653285,-5.23275108169
211373363,443996665,4235.5537,3970.97,4.4483,4.38,131.28674204265,11.21204757825
201359129,443610065,3763.935,4120.37,4.5617,4.39,168.65262581575,-1.569690913
210381646,389052558,3572.2576,3434.95,4.8713,4.8,62.87813099496,13.03346990602
201903390,380640263,3682.2195,3850.96,4.4182,4.39,178.73877426627,7.39596192583
202085551,434392844,3611.9255,4169.8,4.019,4.62,93.86222721369,17.14738071582
228727599,98591450,3610.0422,3523.16,4.9077,4.72,185.10450362974,-9.98084427058
212221504,117272089,3506.1833,3546.51,4.7256,4.41,130.60625415309,25.00222991272
246685007,389120589,3613.528,3323.54,4.5958,4.99,74.99127628399,14.38130981481
246844308,436703189,3586.5332,3790.25,4.7943,4.69,73.76128439524,16.20333412681
251625366,66765437,4079.1123,3984.97,4.6943,4.66,200.01119193845,-0.66888585662
246728920,436563119,3676.0955,3552.09,4.5239,4.66,70.63480283285,14.93077567507
220234729,344279121,4093.2805,3613.53,4.702,4.6,22.13534559124,1.21914136576
220303546,344242287,3505.7136,3486.66,4.8588,4.51,21.92338835064,2.70920752002
211395034,437030707,4196.0938,4079.11,4.5834,4.69,132.44852904457,11.56496146632
201166730,38132199,4147.623,4173.65,4.368,4.67,170.3543705307,-4.89795488744
220279762,344283108,3856.2776,4151.49,4.6309,4.66,22.59882323471,2.2017737665
212330607,405679690,3410.0527,3706.57,4.8241,4.59,204.54574093279,-16.65112550894
211525023,27679309,3535.497,4115.48,4.7461,4.45,123.72817209822,13.49217288702
210407201,434128541,3468.701,3791.47,4.7876,4.62,55.51681071721,13.63136034513
210424595,434234612,3685.8071,3516.24,4.5626,4.81,63.75470357151,14.01372859055
220214138,344770641,3643.247,3998.45,4.79,4.47,16.53663098557,0.5001686113
228720626,98668342,3505.4597,4194.91,4.8319,4.41,186.00650456809,-10.32202717591
201191486,173109506,3500.5576,4242.78,4.1036,4.68,172.70190183183,-4.30268438586
211425510,20423419,3807.1606,3575.4,4.7311,4.69,127.31832017961,12.02307126229
228720389,98582946,3655.2332,3582.92,4.5426,4.79,184.88423356637,-10.33383017104
220205364,336891563,3484.4504,3621.66,4.5894,4.28,17.93244663709,0.18642624932
248470153,374273515,4108.531,3806.4,4.6588,4.7,159.70771820142,2.17092962627
251360907,86119414,3806.396,3360.77,4.6989,4.61,140.43838420931,21.99023742181
201173976,38141726,3673.267,4105.83,4.3567,4.52,170.79740658249,-4.72052128692
201175161,49427354,3956.6638,4093.07,4.6455,4.67,173.99800469703,-4.6937916767
211319940,396846760,3830.65,3867.09,4.4984,4.78,130.82093682556,10.25306570113
201149420,380166466,3690.0852,3658.39,4.5241,4.51,175.9136485633,-5.30872162792
201195593,49419427,4184.1045,4076.58,4.5666,4.45,173.67129183324,-4.20493086366
228733130,183651872,3867.0852,3468.82,4.7763,4.43,184.75220888642,-9.71018313991
245937515,49735644,3468.8171,3701.28,4.426,4.64,352.59210563307,-11.34434900568
201180709,173097335,3409.9985,4230.4,4.5977,4.63,172.07447116591,-4.55922193699
211372933,444037480,3558.978,4243.08,4.0891,4.68,133.59638437867,11.20560559174
228732260,176937904,4141.9116,3682.61,4.6275,4.83,183.43290954853,-9.75364866147
201163416,173109340,4149.1377,3787.33,4.6579,4.86,172.78259170025,-4.97514427678
220176726,269594385,3682.6096,3849.73,4.8288,4.39,16.25940328225,-0.91740480545
211358752,366410722,3381.6306,3666.22,4.5907,4.44,126.55055058237,10.9670994059
212282694,349132699,4239.434,3538.57,4.421,4.66,205.03733505969,-18.06052791516
245969161,49733052,4134.4697,3372.75,4.4211,4.97,352.41473526107,-10.30147208437
205925135,12787721,4144.5273,4083.76,4.3642,4.68,337.74609070785,-17.2309062236
211407353,458682236,4177.8433,4155.71,4.6595,4.5,129.84900084725,11.75344224197
202083293,372654792,3518.997,3557.22,4.7581,4.11,101.74999310255,15.99403136386
205930485,12773325,4038.5325,3467.4,4.6635,4.63,337.23457412923,-17.03587553572
211432062,20495046,3593.4133,3437.16,4.3592,4.83,128.08905725658,12.12580092618
245966594,8990684,4241.1636,3417.64,4.4518,4.52,355.01533465115,-10.37426877851
220163154,248343228,3822.3523,3703.14,4.6524,4.62,16.60979314475,-1.44188054514
245919176,311085996,3805.725,3602.7,4.7236,4.36,352.23217660126,-12.30234963911
201189844,173096779,3776.8572,3762.69,4.2555,4.64,171.83912392513,-4.34130060172
245996687,9030125,3581.0796,3722.9,4.4614,4.71,355.71859326263,-9.57099449083
205963438,240851571,3968.9966,3434.63,4.6997,4.57,340.76018266366,-15.93386847556
211392983,437030429,3579.3638,3862.39,4.7817,4.4,132.38148072502,11.53264405091
245913422,311086052,4074.4526,3599.4,4.6566,4.84,352.27591996712,-12.66447905469
211432376,366631668,3963.0332,3541.48,4.6735,4.93,130.21928445719,12.13084482041
245921214,5777223,3465.7314,3588.1,4.8063,4.6,348.5055798282,-12.17941871565
201390316,53210568,3477.6052,4092.45,4.4713,4.66,167.06687665433,-1.10729329653
220245588,344298963,4113.627,4194.95,4.6758,4.66,22.84914007475,1.47718331012
211322184,366355539,3385.0964,3933.0,4.9212,4.6,126.05631038884,10.29684143519
206019671,146801027,4066.0466,4097.24,4.6382,4.37,342.96987866029,-14.25569174245
210379141,389082541,3282.5928,4017.84,4.5005,4.42,63.10433550456,12.97460484816
201077030,152822348,4157.035,3290.58,4.6612,4.88,181.48500347393,-7.24649980996
211356726,366355306,3467.551,3465.01,4.5507,4.28,125.9942799207,10.93490887477
228711197,98676221,3456.93,4156.19,4.8228,4.69,186.33949272702,-10.79850259347
211358479,396847600,3416.2249,3352.77,4.8721,4.93,134.12931640113,10.96343816955
201181471,173163027,4212.0625,3595.51,4.658,4.63,173.13536446849,-4.54102171546
245945608,49710967,4057.152,3596.22,4.455,4.86,352.28961488362,-10.99936806304
211337552,366409871,3514.4446,3221.14,4.4355,5.0,126.35845237318,10.58710628159
245942429,423611834,4200.3804,3425.86,4.6641,4.42,353.60068493547,-11.1165758357
201177699,38115712,4002.718,3382.59,4.6591,4.88,169.9826794892,-4.63238858874
202135885,438336319,3413.7727,3207.86,4.4162,4.98,97.02603704875,15.41464350876
245943220,49710614,4197.5728,3478.12,4.3934,4.66,352.20814256628,-11.08549227388
245940388,49689747,4199.5137,3452.68,4.6618,4.83,351.92865150429,-11.20596150873
245925061,49738169,3688.5298,4204.13,4.4677,4.55,352.93564908214,-11.95876434227
212324305,392460627,3756.584,3829.67,4.6456,4.58,204.96062440907,-16.8266185775
205973393,145750665,3694.5386,3493.03,4.4572,4.69,341.1670386993,-15.62104933656
228705976,429344623,3505.6636,4203.49,4.4451,4.65,188.47351120163,-11.06479775643
211324804,366631129,3482.083,4152.07,4.6383,4.42,128.3191498655,10.34788780371
248420912,374239116,3500.7615,3658.7,4.0947,4.27,158.86400974999,0.38601909608
220172208,248344830,4044.101,3989.86,4.4403,4.66,16.62360625134,-1.10895233068
211376530,443965618,4099.78,3515.71,4.6842,4.59,130.10093874578,11.26555659853
228709674,98676245,4081.3748,3529.54,4.7707,4.41,186.41221604252,-10.87460682759
220260884,399673453,3551.8071,3907.49,4.3124,4.63,20.18231797623,1.79684882992
245923027,402319933,3582.7607,3471.11,4.7106,4.84,353.53091266808,-12.07354922815
220171485,248344827,4227.2563,4144.48,4.6392,4.65,16.66446499671,-1.14013100974
220177289,269593972,3450.3735,4230.57,4.917,4.65,16.1377170195,-0.89676380887
211430777,21221912,3837.4841,3459.06,4.6836,4.86,129.08673973593,12.10574489577
220171406,269591754,3402.388,3929.2,4.9942,4.76,15.93383116852,-1.14381191961
228722851,176878712,3675.3267,3911.37,4.8344,4.59,183.13552023566,-10.21371428701
211325490,366398963,3993.7144,3717.95,4.7033,4.66,126.135136539,10.36106703623
220205909,344816587,3567.0447,3436.1,4.0119,4.81,17.46892861364,0.20556201813
220217802,399702712,3824.258,3474.97,4.6729,4.81,20.69897577332,0.63292673932
211324534,468992514,3465.18,3705.8,4.5254,4.71,129.18598175933,10.34324479424
245993874,8990848,3553.416,3812.8,4.4076,4.61,354.97668757825,-9.64057492573
201245379,38116567,4052.9136,4195.71,4.6897,4.69,170.09038944106,-3.27943648005
212319974,422327162,3599.2375,3673.08,4.6145,4.84,203.08757252086,-16.94781642395
211349429,458681864,3433.0117,4195.05,4.9009,4.66,129.77432346484,10.80302568177
228714518,429344534,3520.827,3592.01,4.7646,4.4,188.493792565,-10.6279472529
246745786,436655389,3380.309,3497.53,4.8503,4.82,72.71201275148,15.13022916576
202068504,445955879,3562.751,3332.67,4.7553,4.85,102.16643562473,16.92939243974
246753673,436706244,3284.2114,3598.79,4.971,4.61,73.88889236383,15.22182738103
220257375,399735350,4197.448,4116.36,4.6467,4.53,21.58324869204,1.72185687869
201183292,49522674,3889.699,4041.88,4.6712,4.65,175.30102129076,-4.49863233136
210369015,59038942,3503.6685,3213.98,4.8296,4.89,57.3728600695,12.72276495173
220210531,344816551,3914.4128,3445.88,4.7163,4.44,17.56325162326,0.37669279777
211339555,366354423,3432.7234,3549.22,4.79,4.06,125.94459798466,10.62281553385
248423501,281708045,3789.522,3412.42,4.721,4.43,162.37352210021,0.48272280344
220160712,248349546,3856.4026,3565.98,4.641,4.67,17.31254631853,-1.52049789577
205982496,240627410,4221.574,3513.37,4.5868,4.83,339.43519333835,-15.34562791205
210425673,435882001,3659.8816,3716.46,4.7212,4.79,64.48725201229,14.0361441532
205965241,145964101,3853.899,3394.54,4.4746,4.8,341.58440386249,-15.87987072763
228739553,176942929,4036.3848,3697.98,4.6638,4.73,183.93547904696,-9.40360420977
228716624,98673995,3621.0364,4206.13,4.4252,4.68,186.23541736786,-10.51951309834
220191598,248347002,3223.2385,3650.22,4.9738,4.32,16.95173349857,-0.32447036486
245932685,4579953,3433.0212,3291.5,4.73,4.92,348.38130663317,-11.58328953759
220244084,399695077,4231.877,3524.09,4.6149,4.77,20.3893014131,1.44348663454
228743482,176942891,3708.2075,3431.96,4.4614,4.8,184.01644919316,-9.22120052336
201148030,82054762,3475.397,3648.42,4.7918,4.27,176.59851403376,-5.34080953915
210370582,435336120,3492.8467,3429.74,4.9397,4.87,55.02693206872,12.76371197731
210466851,435882314,3583.7542,3412.06,4.7382,4.81,64.44468378115,14.83455766171
246868287,389134424,4187.63,4223.32,4.5756,4.64,75.10288063443,16.44411680979
211351975,366631995,3510.91,3481.36,4.8168,4.43,130.12197884562,10.84999854892
212207435,117357954,3642.777,3306.34,4.4432,4.97,131.98174249123,24.51908895525
201263800,38159655,3767.3853,3643.45,4.5654,4.75,171.21833263699,-2.99863815449
220221184,388814603,3776.3804,3526.27,4.6253,4.77,18.4895603828,0.74794719104
248416759,374349858,4182.4097,3590.6,4.3983,4.6,160.69413876726,0.22394701345
228716327,98753190,3664.6465,3685.76,4.7378,4.25,187.37114323003,-10.53397729364
205911202,188569903,3600.5579,4198.78,4.174,4.47,339.04428394469,-17.75725980558
220263373,344242427,4173.105,3376.96,4.5441,4.88,21.93774319982,1.85358168783
245930965,4579928,3684.2576,4229.58,4.6816,4.77,348.41012926461,-11.66916797086
220217642,399673099,3590.9956,3598.68,4.7242,4.44,20.06648929406,0.62750580444
220197043,248347119,3534.381,3643.24,4.8448,4.29,17.1006199967,-0.11517352151
220197297,248944679,3619.824,3316.6,4.2083,4.97,20.26615712838,-0.10481248319
201920159,350475580,3562.8684,3413.62,4.6445,4.54,176.97359334433,7.75612400825
220159781,248377567,3513.428,4057.67,4.786,4.68,18.16858678935,-1.55024215436
245972583,8988229,3888.8428,3586.54,4.7121,4.65,354.75865597963,-10.20872959851
220165000,333608090,4231.865,4095.33,4.6418,4.34,12.89598022555,-1.38308028116
246043496,9700136,3608.3005,3772.34,4.1768,4.69,357.88289872897,-8.40204975959
245939622,49554679,4143.64,3564.39,4.5978,4.73,349.61258856775,-11.24167412346
201145370,49456015,4185.1245,3553.74,4.6854,4.63,174.55208492722,-5.40527807139
248449640,374239434,3860.514,3759.33,4.7137,4.7,158.93935007766,1.46429596524
201241974,38160957,3606.4033,3366.47,4.7596,4.85,171.28194425888,-3.33072271872
205952324,240812195,3651.8054,3330.76,4.755,4.72,340.38477847982,-16.29388887905
246767446,436651424,3689.6375,3460.97,4.603,4.58,72.63358002729,15.38237610849
201148900,173104321,3807.1838,3339.85,4.6956,4.91,172.51672964871,-5.31949394848
206020713,145964277,3539.0137,3429.03,4.591,4.49,341.67807243556,-14.22560583254
220202916,344771789,3505.2922,3375.38,4.7887,4.64,17.13960190531,0.10075367016
201165011,173108948,3657.4392,3615.9,4.7898,4.63,172.61577991322,-4.9383429138
220239179,336957274,3602.191,3660.12,4.8746,4.68,19.03709218068,1.3289621385
248461118,277893315,3749.2432,3244.34,4.739,4.01,157.39900103174,1.8648345701
201895362,291074978,4175.1997,3320.25,4.5712,4.65,178.16058499799,7.22575950736
220229280,399702794,3567.2405,3435.45,4.5958,4.84,20.68747957549,1.02925974005
211383671,437030377,3414.0762,4133.45,4.8171,4.71,132.30608440708,11.38320920112
220234553,336956764,3693.7476,3830.81,4.744,4.76,18.80550296015,1.21336364147
246074131,9709224,3548.2095,3748.22,4.8213,4.72,358.08218140879,-7.70579755114
