EPIC_ID,TIC_ID,Teff_k,Teff_t,logg_k,logg_t,Teff,e_Teff,logg,e_logg
220214138,344770641,3643.247,3998.45,4.79,4.47,NaN,NaN,NaN,NaN
220211133,380909768,3612.0483,3639.84,4.708,4.39,3435,157,4.72538,0.0103956
220210531,344816551,3914.4128,3445.88,4.7163,4.44,3768,157,4.7202,0.0103151
220209793,380886536,4213.1885,4091.4,4.6687,4.67,3971,157,4.64536,0.0111999
220208389,399702563,4024.05,3583.41,4.6807,4.68,3818,157,4.66896,0.0107599
220205909,344816587,3567.0447,3436.1,4.0119,4.81,3788,157,4.63571,0.0144981
220205364,336891563,3484.4504,3621.66,4.5894,4.28,3372,157,4.77801,0.0147539
220202916,344771789,3505.2922,3375.38,4.7887,4.64,3440,157,4.85252,0.00368075
220202259,344771774,3640.68,3669.12,4.4548,4.75,3556,157,4.66692,0.011133
220201150,248944632,3768.3699,3567.04,4.7076,4.01,3627,157,4.71668,0.0104626
220201062,248391347,3696.3684,4118.53,4.7144,4.32,3561,157,4.72231,0.0141397
220199246,248944625,4118.942,3550.19,4.6915,4.88,3929,157,4.70281,0.0106263
220199072,248944661,3578.8687,3590.23,4.8437,4.75,3494,157,4.83955,0.00414998
220197813,248347110,3705.6475,3182.25,4.8037,4.97,3652,157,4.8063,0.00685431
220197340,269557575,3820.5984,3362.83,4.7559,4.91,3814,157,4.74419,0.019011
220197297,248944679,3619.824,3316.6,4.2083,4.97,3766,157,4.58894,0.0170181
220197043,248347119,3534.381,3643.24,4.8448,4.29,3437,157,4.8828,0.00290671
220196985,248349273,4112.401,3943.34,4.6274,4.7,3853,157,4.66414,0.0108474
220191598,248347002,3223.2385,3650.22,4.9738,4.32,3163,157,4.99267,0.0121496
220189671,248385240,3477.8762,3674.53,4.5922,4.74,3536,157,4.82383,0.0064148
220186649,248353827,3780.9604,3617.34,4.6945,4.69,3645,157,4.72436,0.00906985
220183549,248353555,3655.6707,3770.15,4.7563,4.54,3526,157,4.78231,0.0109947
220177289,269593972,3450.3735,4230.57,4.917,4.65,3355,157,4.91734,0.0031676
220176726,269594385,3682.6096,3849.73,4.8288,4.39,3583,157,4.82673,0.00443408
220173213,269594419,3752.7314,4156.92,4.7316,4.4,3641,157,4.7691,0.0108274
220172740,269591772,3512.134,3511.47,4.2101,4.93,3460,157,4.66109,0.0126756
220172208,248344830,4044.101,3989.86,4.4403,4.66,4249,122,4.55678,NaN
220171485,248344827,4227.2563,4144.48,4.6392,4.65,4054,122,4.59418,NaN
220171406,269591754,3402.388,3929.2,4.9942,4.76,3361,157,4.98441,0.010605
220167475,269486084,4193.135,3662.13,4.6683,4.39,3879,157,4.63838,0.0116558
220165000,333608090,4231.865,4095.33,4.6418,4.34,4029,122,4.60133,NaN
220163154,248343228,3822.3523,3703.14,4.6524,4.62,3687,157,4.72019,0.010647
220160712,248349546,3856.4026,3565.98,4.641,4.67,3720,157,4.72801,0.0116964
220159781,248377567,3513.428,4057.67,4.786,4.68,3392,157,4.80646,0.00639854
220154854,248349579,4124.594,3475.9,4.6121,4.81,3998,122,4.60087,NaN
220154854,248349579,4124.594,3475.9,4.6121,4.81,3998,122,NaN,NaN
220153480,248351141,3428.0586,3660.08,4.8747,4.75,3377,157,4.91859,0.00354449
220152532,333607972,3702.8596,4130.07,4.3308,4.69,NaN,NaN,NaN,NaN
213488455,168686211,3544.6018,3515.14,4.3625,4.43,3461,157,4.65896,0.0110661
213462890,2527981,3741.7915,3450.37,4.2955,4.92,3604,157,4.60148,0.0215184
213439082,2673117,4103.376,3375.92,4.6624,4.42,3893,157,4.65536,0.0107615
212878593,130713848,3800.0884,4027.59,4.7079,4.7,3758,122,4.80329,NaN
212339487,422327982,3540.9473,4231.09,4.6536,4.66,3502,157,4.82652,0.00901353
212330607,405679690,3410.0527,3706.57,4.8241,4.59,3245,157,4.86782,0.00139524
212324305,392460627,3756.584,3829.67,4.6456,4.58,3603,157,4.72063,0.0109158
212319974,422327162,3599.2375,3673.08,4.6145,4.84,3544,157,4.7791,0.00775415
212299157,392490487,3661.1958,3884.47,4.5725,4.67,3535,157,4.77189,0.00832955
212298996,357493637,3719.2883,4213.76,4.4913,4.67,3660,157,4.70604,0.0105024
212298996,357493637,3719.2883,4213.76,4.4913,4.67,NaN,NaN,NaN,NaN
212295535,405672718,3753.1538,3973.82,4.3488,4.73,3912,123,4.45123,NaN
212284993,357616983,3556.5132,3581.34,4.7024,4.62,3433,157,4.79419,0.00661015
212282694,349132699,4239.434,3538.57,4.421,4.66,3707,157,4.75726,0.00872541
212271290,286961189,4126.2227,3802.11,4.678,4.74,3910,157,4.6609,0.011582
212221986,126277741,3774.7449,4104.45,4.4732,4.66,3614,157,4.59239,0.0145532
212221986,126277741,3774.7449,4104.45,4.4732,4.66,NaN,NaN,NaN,NaN
212221504,117272089,3506.1833,3546.51,4.7256,4.41,3418,157,4.82327,0.00422817
212217647,332108990,3582.3635,3659.88,4.1272,4.72,3785,157,4.74358,0.00902669
212212344,126240074,4198.4346,4100.18,4.6442,4.65,3916,157,4.60228,0.0127402
212207435,117357954,3642.777,3306.34,4.4432,4.97,3783,157,4.66019,0.014659
212206519,117220176,4166.6997,3553.34,4.6516,4.52,3818,157,4.63061,0.0118575
211537249,27679382,4200.127,4215.29,4.6621,4.64,3889,157,4.63802,0.0114818
211537249,27679382,4200.127,4215.29,4.6621,4.64,NaN,NaN,NaN,NaN
211525023,27679309,3535.497,4115.48,4.7461,4.45,3424,157,4.79349,0.00607023
211519237,27630130,3313.464,3969.75,4.9273,4.37,3255,157,4.95045,0.00834659
211503930,186818099,3423.8625,3598.69,4.819,4.37,3302,157,4.88372,0.00112338
211500278,6950824,3312.3457,3564.18,4.7378,4.75,3252,157,4.90818,0.00316279
211480727,6992389,4236.1,3372.49,4.623,4.91,3862,157,4.59345,0.0128996
211480470,20419683,3721.8865,4221.57,4.5692,4.59,3781,157,4.72754,0.009068
211477574,27650354,4135.6274,3635.96,4.4366,4.52,3967,122,4.47999,NaN
211438319,7024655,3573.3794,3521.91,4.7468,4.84,3488,157,4.78295,0.0114194
211432376,366631668,3963.0332,3541.48,4.6735,4.93,3827,157,4.67949,0.0112044
211432351,6991970,3478.1206,3383.38,4.6579,4.94,3355,157,4.78677,0.00903852
211432062,20495046,3593.4133,3437.16,4.3592,4.83,3702,157,4.68365,0.0118623
211430777,21221912,3837.4841,3459.06,4.6836,4.86,3762,157,4.77326,0.0081559
211426339,21273608,4060.9692,3402.19,4.6986,4.47,3886,157,4.70102,0.00989503
211425510,20423419,3807.1606,3575.4,4.7311,4.69,3666,157,4.75071,0.00820937
211408841,444001056,3704.3335,3374.29,4.6839,4.99,3578,157,4.73097,0.00870445
211407353,458682236,4177.8433,4155.71,4.6595,4.5,3802,157,4.66992,0.0111527
211402150,443970291,3742.6501,3902.63,4.6363,4.48,3767,157,4.71328,0.00915737
211397213,366443946,3512.2131,3257.88,4.7857,4.89,3412,157,4.80504,0.00731689
211395279,468992985,3601.9219,4067.1,4.3453,4.45,3515,157,4.60877,0.012794
211395034,437030707,4196.0938,4079.11,4.5834,4.69,3991,122,4.42838,NaN
211392983,437030429,3579.3638,3862.39,4.7817,4.4,3458,157,4.79556,0.00637222
211383671,437030377,3414.0762,4133.45,4.8171,4.71,3314,157,4.86908,0.00102267
211382837,366484881,4121.6245,3986,4.625,4.38,3937,157,4.6636,0.01108
211378687,366623273,3686.0964,4113.63,4.1987,4.68,3741,122,4.32753,NaN
211376530,443965618,4099.78,3515.71,4.6842,4.59,3937,157,4.68536,0.0109707
211376293,443996160,3818.0864,3572.26,4.487,4.87,3816,157,4.67512,0.0105638
211375321,443970622,3435.4495,3694.54,4.8892,4.46,3355,157,4.88806,0.00112599
211374549,468988150,3404.215,3549.94,4.8694,4.3,3328,157,4.88866,0.00102763
211373363,443996665,4235.5537,3970.97,4.4483,4.38,4257,122,4.45339,NaN
211372933,444037480,3558.978,4243.08,4.0891,4.68,3809,157,4.7212,0.00987521
211372420,443965075,3560.735,3832.47,4.7941,4.75,3478,157,4.79202,0.00700608
211358752,366410722,3381.6306,3666.22,4.5907,4.44,3318,157,4.82273,0.00522282
211358479,396847600,3416.2249,3352.77,4.8721,4.93,3321,157,4.88937,0.000703838
211357190,366658144,3773.6135,3503.47,4.627,4.81,3621,157,4.71457,0.00970885
211356726,366355306,3467.551,3465.01,4.5507,4.28,3375,157,4.75058,0.00968848
211351975,366631995,3510.91,3481.36,4.8168,4.43,3447,157,4.85491,0.00326209
211349429,458681864,3433.0117,4195.05,4.9009,4.66,3364,157,4.91332,0.00300562
211345931,458656217,4001.2856,3801.13,4.7157,4.63,3798,157,4.71573,0.00898981
211339555,366354423,3432.7234,3549.22,4.79,4.06,3378,157,4.86328,0.00248001
211337552,366409871,3514.4446,3221.14,4.4355,5,3489,157,4.69936,0.0122246
211336747,458685938,3708.2605,4170.59,4.7477,4.53,3592,157,4.76553,0.00750757
211333549,366410896,3558.5913,3866.97,4.4073,4.66,3666,157,4.70211,0.010115
211325490,366398963,3993.7144,3717.95,4.7033,4.66,3812,157,4.73117,0.00985709
211324854,366409776,4201.7134,3763.93,4.5256,4.56,4023,122,4.46783,NaN
211324804,366631129,3482.083,4152.07,4.6383,4.42,3378,157,4.7903,0.00709609
211324534,468992514,3465.18,3705.8,4.5254,4.71,3408,157,4.78469,0.00896359
211322184,366355539,3385.0964,3933,4.9212,4.6,3304,157,4.92788,0.00436262
211319940,396846760,3830.65,3867.09,4.4984,4.78,3665,157,4.60075,0.014216
211314705,468989066,3607.449,4189.74,4.7787,4.46,3510,157,4.80673,0.00494152
211314440,437038450,3381.4133,4246.56,4.7004,4.64,3304,157,4.86519,0.000683751
211311519,396742522,3371.5059,3875.89,4.8119,4.75,3218,157,4.83094,0.0123516
211307660,366569064,4057.239,3847.3,4.6733,4.47,3873,157,4.65218,0.0121757
210480766,434260443,3381.1592,3642.78,4.9252,4.44,3325,157,4.9203,0.00383701
210466851,435882314,3583.7542,3412.06,4.7382,4.81,3468,157,4.84198,0.00761064
210456166,435923506,3468.143,4007.06,4.5831,4.69,3429,157,4.81766,0.00418871
210425673,435882001,3659.8816,3716.46,4.7212,4.79,3423,157,4.79624,0.00668002
210425130,348668074,3677.0623,4195.7,4.5799,4.67,3384,157,4.73858,0.0146878
210424595,434234612,3685.8071,3516.24,4.5626,4.81,3375,157,4.72153,0.00978814
210420401,435918916,3540.1875,3314.74,4.7663,4.91,3389,157,4.79284,0.00583519
210420401,435918916,3540.1875,3314.74,4.7663,4.91,NaN,NaN,NaN,NaN
210407201,434128541,3468.701,3791.47,4.7876,4.62,3297,157,4.84052,0.00378694
210384192,435332935,4087.752,3734.53,4.4975,4.66,3612,157,4.61004,0.0163766
210381646,389052558,3572.2576,3434.95,4.8713,4.8,3488,157,4.86358,0.00090078
210379141,389082541,3282.5928,4017.84,4.5005,4.42,3301,157,4.93835,0.00680394
210375265,456865281,3951.9573,3836.52,4.629,4.4,3519,157,4.70965,0.012425
210372126,348662823,3512.9478,3550.39,4.4288,4.51,3436,157,4.71546,0.0101028
210370656,434131860,3489.5117,3521.65,4.7526,4.43,3239,157,4.78238,0.00707639
210370582,435336120,3492.8467,3429.74,4.9397,4.87,3408,157,4.9164,0.00357579
210369015,59038942,3503.6685,3213.98,4.8296,4.89,3371,157,4.85715,0.00264848
210361757,59039389,3486.739,4145.84,4.815,4.65,3393,157,4.85866,0.00152123
210349838,243015707,3378.5652,3753.2,4.667,4.78,3329,157,4.86639,0.000588973
210329711,345457584,3437.8435,4192.87,4.9709,4.58,3383,157,4.95479,0.00874097
210327065,415335918,3631.139,4153.03,4.3892,4.36,3424,157,4.64542,0.0150217
206024309,111752193,3592.2517,3743.78,4.3534,4.59,3599,157,4.69063,0.0111736
206020713,145964277,3539.0137,3429.03,4.591,4.49,3473,157,4.7967,0.0066072
206019671,146801027,4066.0466,4097.24,4.6382,4.37,3946,157,4.64785,0.0128148
206017207,145962434,3410.2268,3652.79,4.4241,4.84,3339,157,4.79606,0.00609957
206014402,146366079,3639.291,4136.68,4.0328,4.69,3814,157,4.65902,0.0114392
206006723,240810542,4037.535,3615.24,4.6736,4.74,3846,157,4.68022,0.0105777
205982496,240627410,4221.574,3513.37,4.5868,4.83,3823,157,4.62294,0.0127899
