,TIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase
450, TIC 248378867,3547.26,4.45,0,47.54205063392533,0.0,0,0,0.0,0,0
451, TIC 147816250,3887.87,4.7,1,26.68783361927126,0.027778561465311213,0.027778561465311213,0.027778561465311213,6.061196327209473,6.061196327209473,6.061196327209473
452, TIC 203286301,3794.97,4.68,0,0,0.0,0,0,0.0,0,0
453, TIC 49604500,4180.85,4.47,0,109.41719222273082,0.0,0,0,0.0,0,0
454, TIC 389121705,4193.14,4.67,0,104.04307701163316,0.0,0,0,0.0,0,0
455, TIC 374296575,4112.4,4.63,14,223.16883189752593,0.21031633989582588,1.395804823368735,0.027778183697591885,80.12569120952061,583.2618236541748,1.1429190635681152
456, TIC 117272115,4210.52,4.55,0,0,0.0,0,0,0.0,0,0
457, TIC 269486136,3437.2,4.36,8,74.85417252881825,0.2291680996422656,0.4583447831682861,0.10416551446542144,-5950.340735885394,70679.25589072582,-88377.06161107813
458, TIC 277895057,3987.44,4.49,0,0,0.0,0,0,0.0,0,0
459, TIC 286942849,3606.16,4.75,0,0,0.0,0,0,0.0,0,0
460, TIC 49531837,4130.03,4.64,0,109.41710335129255,0.0,0,0,0.0,0,0
461, TIC 277870780,4187.58,4.6,1,24.563014779029345,0.2500031104129903,0.2500031104129903,0.2500031104129903,4.931306838989258,4.931306838989258,4.931306838989258
462, TIC 437038686,4220.5,4.62,0,0,0.0,0,0,0.0,0,0
463, TIC 281726283,3549.85,4.55,0,24.562159890390376,0.0,0,0,0.0,0,0
464, TIC 49426765,3464.61,4.76,1,24.562683693424106,0.08333413271975587,0.08333413271975587,0.08333413271975587,2.8246521949768066,2.8246521949768066,2.8246521949768066
465, TIC 411696941,3464.63,4.77,0,0,0.0,0,0,0.0,0,0
466, TIC 114985481,3475.9,4.41,0,0,0.0,0,0,0.0,0,0
467, TIC 277769948,4240.7,4.55,0,0,0.0,0,0,0.0,0,0
468, TIC 175754458,4182.34,4.65,6,27.895687697121957,0.2395842279166421,0.43749440764531755,0.08333419832274558,15.954631567001343,36.09737157821655,3.303074836730957
469, TIC 443965178,3847.34,4.54,2,297.7298933712866,0.20833904539881587,0.25000905566275833,0.1666690351348734,7.845944166183472,11.284494400024414,4.407393932342529
470, TIC 277834002,3914.0,4.67,0,24.56299412155181,0.0,0,0,0.0,0,0
471, TIC 435913873,3395.7,4.4,7,74.9613775345938,0.06349185945925585,0.1111097219813928,0.027777428486842837,44.37983546938215,95.50046920776367,3.4232497215270996
472, TIC 245823285,4000.06,4.53,5,156.12534349746556,0.19721906586069055,0.3541595784686251,0.04861071598043054,307.2002959251404,699.3239879608154,12.593305110931396
473, TIC 198527447,3960.99,4.64,9,55.16742441454744,0.19599041113550206,0.39584702203433153,0.02777754831686252,5131.252246432834,45479.32434082031,18.922078609466553
474, TIC 357616914,4225.96,4.72,1,25.000446658269084,0.1250046488685257,0.1250046488685257,0.1250046488685257,4.372429847717285,4.372429847717285,4.372429847717285
475, TIC 200678649,3631.83,4.65,0,0,0.0,0,0,0.0,0,0
476, TIC 438402150,3356.8,4.77,14,208.6592256256306,0.18353913166799884,0.6528384183052367,0.03472542196550421,-4218.4519214156735,248.7255100387313,-17472.058679163947
477, TIC 437901297,4098.19,4.42,10,208.65845878062464,0.044446577019607504,0.08333395514637232,0.027779461328918842,-852.2072182812811,26.630163192749023,-8621.456323781134
478, TIC 155454909,4047.16,4.76,1,108.7513519372842,0.08333515163781158,0.08333515163781158,0.08333515163781158,4.166162014007568,4.166162014007568,4.166162014007568
479, TIC 438306662,3777.49,4.78,0,43.5002131019412,0.0,0,0,0.0,0,0
480, TIC 337608171,3429.83,4.41,0,48.83401724238888,0.0,0,0,0.0,0,0
481, TIC 117358103,4236.77,4.67,5,103.68673431528168,0.058336223098422124,0.10416319146975184,0.027780458916367934,1544.859755039215,7663.951873779297,4.094374179840088
482, TIC 287331650,3690.7,4.75,0,0,0.0,0,0,0.0,0,0
483, TIC 157836827,3955.89,4.59,0,0,0.0,0,0,0.0,0,0
484, TIC 281655537,4244.79,4.48,4,24.56211712863069,0.2864569856792514,0.6041698547512624,0.08333215919310533,319.76305544376373,684.7466945648193,21.234893798828125
485, TIC 287331799,3909.47,4.68,0,0,0.0,0,0,0.0,0,0
486, TIC 286942575,3593.65,4.74,0,0,0.0,0,0,0.0,0,0
487, TIC 436647823,3515.07,4.55,9,205.0884296504728,0.12423238384159656,0.24307590360376707,0.04167024336993563,-5668.90720105593,490.343713760376,-51112.103648169286
488, TIC 168550367,3877.95,4.64,0,0,0.0,0,0,0.0,0,0
489, TIC 328009706,3646.72,4.52,2,109.4173926005426,0.1041662897914648,0.1041662897914648,0.1041662897914648,34212.219324788646,58127.19940834231,10297.239241234982
490, TIC 2672012,3699.2,4.71,7,102.0552564521804,0.35615929970621046,1.0625269906968242,0.05555526381999698,216.0390087536403,962.7436637878418,6.306648254394531
491, TIC 422335830,4122.63,4.66,2,50.000808038831565,0.16666901962958036,0.16666901962958036,0.16666901962958036,6.318402290344238,6.318402290344238,6.318402290344238
492, TIC 436573973,3453.33,4.65,12,205.06725957463186,0.15741162493789793,0.41669753226778994,0.027777708110079402,-2492.352292204397,4111.137771606445,-25844.772226191362
493, TIC 117358100,4024.05,4.68,0,0,0.0,0,0,0.0,0,0
494, TIC 157839282,3665.83,4.34,0,0,0.0,0,0,0.0,0,0
495, TIC 380674544,3944.89,4.68,0,0,0.0,0,0,0.0,0,0
496, TIC 243010858,4164.59,4.66,20,230.5314674230317,0.15104315574927796,0.37502891942313,0.02778036166318998,9610427.942255944,193511355.94882983,-587948.3898770697
497, TIC 357446103,3405.82,4.72,1,25.00028643925907,0.22917382049513435,0.22917382049513435,0.22917382049513435,4.306173324584961,4.306173324584961,4.306173324584961
498, TIC 98593447,4137.87,4.58,0,24.99959491491063,0.0,0,0,0.0,0,0
499, TIC 437026655,3758.05,4.72,0,0,0.0,0,0,0.0,0,0
500, TIC 225802247,3648.85,4.74,6,27.062918541565523,0.19444995766021597,0.479181916909738,0.08333600156288412,703.9981762568156,2116.2704467773438,4.540085792541504
501, TIC 437035552,3857.02,4.63,0,0,0.0,0,0,0.0,0,0
502, TIC 436666669,3613.2,4.61,1,52.04220752918536,0.08333449195470166,0.08333449195470166,0.08333449195470166,0.9138584136962891,0.9138584136962891,0.9138584136962891
503, TIC 186690659,4087.45,4.67,0,0,0.0,0,0,0.0,0,0
504, TIC 12858118,3479.58,4.2,16,185.12193921970106,0.05989487902509438,0.15972121842696652,0.02777757731200836,27.72209942340851,86.85158491134644,6.240582466125488
505, TIC 468989077,4138.28,4.35,2,48.833987527615136,0.25000631172963494,0.2708428932367042,0.2291697302225657,12.32578158378601,16.53130054473877,8.120262622833252
506, TIC 200032877,4211.0,4.55,2,42.188151890372865,0.4166638722117568,0.5416631866810349,0.2916645577424788,95.38853168487549,131.44712448120117,59.329938888549805
507, TIC 374296554,3779.12,4.61,2,24.56205643935118,1.2395700097397366,1.3958047300898215,1.0833352893896517,432.08149671554565,609.0005874633789,255.1624059677124
508, TIC 8938883,3337.75,4.58,2,82.06340670953227,0.08333533490076661,0.08333533490076661,0.08333533490076661,210581.69185191987,422816.42821354314,-1653.0445097034221
509, TIC 175750901,3410.23,4.42,0,0,0.0,0,0,0.0,0,0
510, TIC 85979311,3608.07,4.63,10,203.75339308280832,0.32846966432985025,1.083314027036522,0.027778013723491313,3644.8211812973022,15842.341613769531,5.155467987060547
511, TIC 225884832,4149.76,4.68,6,27.06293601595962,0.26389525427407534,0.6875223017671033,0.08333595244198477,4085.462143023809,23349.945068359375,3.7495851516723633
512, TIC 294301689,4050.04,4.65,0,25.00040839035387,0.0,0,0,0.0,0,0
513, TIC 49464551,3661.63,4.72,3,49.479629371499186,0.375007603942322,0.5625165027981893,0.10416979968590567,20.903535683949787,30.548810958862305,3.9415955543518066
514, TIC 126240080,3538.51,4.75,6,103.11044023916679,0.7199374295511992,1.2987017999980708,0.08333436022462593,557.4247280756632,2168.9239501953125,2.165806293487549
515, TIC 98731001,3494.8,4.8,0,0,0.0,0,0,0.0,0,0
516, TIC 366567993,3467.24,4.59,2,73.25091101074258,0.1041690800896049,0.12500290917773782,0.08333525100147199,4.293489456176758,4.567253589630127,4.019725322723389
517, TIC 157836734,3691.59,4.08,0,0,0.0,0,0,0.0,0,0
518, TIC 115079665,3715.89,4.72,26,79.36409528142826,0.22890273146637916,1.312546619466957,0.027777690457241988,1606.6883000043722,34494.40002441406,3.902292251586914
519, TIC 374239489,4207.68,4.63,0,0,0.0,0,0,0.0,0,0
520, TIC 130713848,4027.59,4.7,7,26.229367619088407,0.9206430857540389,3.201387012495161,0.06250149585093823,25569.160856519426,50890.22521972656,440.42043685913086
521, TIC 176941703,3513.95,4.77,0,0,0.0,0,0,0.0,0,0
522, TIC 185856409,3588.42,4.77,3,103.86954205053712,0.26158100212326946,0.39584773081469393,0.09722470687211171,1105.1799813906352,2587.575340270996,10.394585132598877
523, TIC 277711783,4051.48,4.66,3,49.67643242168447,0.22454993372328622,0.4166809407886376,0.06945129503446879,8411.161295572916,16402.113342285156,165.753173828125
524, TIC 335103607,4162.31,4.19,1,99.64660483014336,0.20833556470142867,0.20833556470142867,0.20833556470142867,5.522668361663818,5.522668361663818,5.522668361663818
525, TIC 380195373,3771.46,4.59,0,0,0.0,0,0,0.0,0,0
526, TIC 374272704,4201.9,4.67,0,0,0.0,0,0,0.0,0,0
527, TIC 175636826,4000.55,4.59,0,0,0.0,0,0,0.0,0,0
528, TIC 443965404,4210.26,4.41,0,48.834011391514196,0.0,0,0,0.0,0,0
529, TIC 345074529,4130.75,4.45,0,0,0.0,0,0,0.0,0,0
530, TIC 366576289,3536.02,4.67,1,48.83393550445908,0.2083402688338083,0.2083402688338083,0.2083402688338083,7.287144660949707,7.287144660949707,7.287144660949707
531, TIC 366355381,3620.5,4.24,1,24.41692381203734,0.25000758129067435,0.25000758129067435,0.25000758129067435,11.11208200454712,11.11208200454712,11.11208200454712
532, TIC 437335758,4142.27,4.52,0,0,0.0,0,0,0.0,0,0
533, TIC 270419146,3847.85,4.64,0,0,0.0,0,0,0.0,0,0
534, TIC 422335495,4205.24,4.65,1,25.000406178595767,0.6875248711426138,0.6875248711426138,0.6875248711426138,5.864357948303223,5.864357948303223,5.864357948303223
535, TIC 49735767,3658.75,4.4,4,108.95913793922819,0.15624981909058988,0.2291643968783319,0.08333493722602725,-9904.408603202955,16401.8410932383,-53453.6771051326
536, TIC 458685938,4170.59,4.53,0,48.89357549420038,0.0,0,0,0.0,0,0
537, TIC 380674551,4242.25,4.47,0,0,0.0,0,0,0.0,0,0
538, TIC 27636692,3556.49,4.67,1,48.833726092616644,0.2291724136071025,0.2291724136071025,0.2291724136071025,7.413780689239502,7.413780689239502,7.413780689239502
539, TIC 290055374,3877.52,4.63,2,50.32713504328876,0.2812597630891105,0.43751723107698126,0.12500229510123972,46.46548628807068,57.57160186767578,35.359370708465576
540, TIC 335011033,3530.04,4.74,3,75.38961698412413,1.3148293200549688,1.8888831365679835,0.6666886208611231,29.642148812611897,36.96781396865845,22.206532955169678
541, TIC 277870693,3587.95,4.75,0,24.563007098852722,0.0,0,0,0.0,0,0
