level_0,index,TIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase,Flares per hour,Flares per day,RA,Dec
11,11,385751622,4168.92,4.23,4,87.00016695168392,0.1145820391830056,0.1666656108573079,0.0833325218409299,705447.2412924919,811441.6598704305,598289.364225951,0.0019157051360513,0.0459769232652326,242.7401599,-27.28415021
12,12,389018999,4079.9,4.26,17,305.17078558339927,0.1049844232620136,0.3749887821797983,0.0277772876083872,-4185.514495225584,12897.22365200406,-50696.200362273295,0.0023211046626865,0.0557065119044762,243.1281124,-28.69177074
13,13,110976189,3871.56,4.57,1,50.08278663683109,0.0833341138779815,0.0833341138779815,0.0833341138779815,0.776362419128418,0.776362419128418,0.776362419128418,0.0008319558368188,0.0199669400836533,201.3741103,-1.10548135
14,14,23761522,3984.94,4.53,2,53.02170130526838,0.0798636684780831,0.125004000618901,0.0347233363372652,4.901188611984253,7.461357116699219,2.341020107269287,0.0015716835047134,0.0377204041131225,201.7571005,-17.41631167
15,15,114958811,3639.45,4.12,20,79.36398685263634,0.1197931023110982,0.2916762814811591,0.0277776863090366,317.22060918807983,3789.8902893066406,1.49000883102417,0.0105001445413859,0.252003468993262,102.224626,15.37439098
16,16,277812260,4117.48,4.66,16,223.73379870631533,0.15061441178986,0.5416890067040185,0.0277802059840723,185.8955562114716,1087.304973602295,0.7406115531921387,0.0029797315851315,0.0715135580431566,64.93017108,15.21666713
17,17,169683436,4140.38,4.52,6,77.95888680697271,0.274310893540246,0.895841378875275,0.0833359214536813,17.06784963607788,35.66000461578369,2.19411849975586,0.0032068184942019,0.0769636438608478,182.215012,-8.901744872
18,18,388735741,4243.39,4.68,3,53.75067446626849,0.145837274078076,0.2291744857325284,0.0833360790186361,2417.397658030192,7146.596527099609,6.177842617034912,0.0023255522138321,0.0558132531319707,289.8518428,-29.49653425
19,19,435925357,3167.6,4.03,10,305.2701614552643,0.1208356187786421,0.354176633991301,0.0277774500887062,4739.644923696996,46699.74693105218,-500.32714893065526,0.0013649112139894,0.0327578691357473,287.5003193,-28.51518438
20,20,117413911,4137.24,4.23,12,204.71365996736563,0.4462189839956825,1.3056453761896591,0.0277805986352177,75.13081232706706,595.3807830810547,0.8659839630126953,0.0024424359374929,0.0586184624998301,55.82334869,13.65941153
21,21,436572652,4193.93,4.66,3,253.30022839495007,0.1273189380600949,0.1874971714132698,0.0486139637232554,231.85513416926065,609.8878860473633,2.507364749908448,0.0004934855400331,0.0118436529607953,133.4282545,24.88825276
22,22,185686675,4246.18,4.64,3,103.86950234429172,0.1412060702897785,0.208336043136569,0.0833344007201049,218.1682308514913,649.8656272888184,1.0792970657348633,0.001203433126941,0.0288823950465848,159.1334766,0.652282423
23,23,396743074,4115.38,4.58,1,48.834034010420055,0.2916775206379043,0.2916775206379043,0.2916775206379043,16.443705558776855,16.443705558776855,16.443705558776855,0.000853230078387,0.0204775218812892,203.2768927,-17.95663658
