TICID,RAdeg,DEdeg,Teff,logg
303593028,130.4462615,10.60861735,,
188580272,184.1440685,-8.538714674,5767.293,4.2752
269504380,265.3514394,-29.52090859,4689.3667,2.4065
277875133,259.3130418,-30.16628914,6361.427,4.1948
151503691,74.88718526,16.0481267,,
405675910,182.6710341,-10.09307499,5866.93,4.1046
126319605,63.83584132,13.49898321,4986.971,2.6843
399702726,207.0594323,-18.48470651,6028.9937,4.0567
444005912,204.2735004,-1.461369644,6035.852,4.0298
436678647,126.7507189,12.91614593,5086.3735,3.3304
68164488,162.3538307,0.154000521,6161.75,4.1864
380198227,126.8801975,11.52754218,6275.5806,4.0129
98668308,257.3029484,-31.00451647,4836.67,2.7955
436651598,236.2829479,-26.18776851,,
175831316,246.9932454,-27.73366788,,
389117862,258.1822118,-31.23901597,,
49427341,77.48610408,15.41163816,5585.701,4.104
68405083,78.40464036,15.8852056,6119.9443,4.1521
49419255,158.9652062,0.567881318,,
66733702,340.1552524,-16.7538741,8423.827,4.0664
156554598,129.029241,10.35040257,6903.2124,4.0836
176940644,289.6158032,-29.55377241,4427.89,1.0543
436591296,20.75337749,2.213048456,5996.816,4.319
286961541,261.5972356,-30.21533782,,
66779859,60.13838149,11.75193077,,
243015318,126.0707123,10.87414152,5972.5103,4.3723
383171684,182.377363,-10.13700117,6247.5137,3.8703
49687057,231.4047032,-25.02360678,5527.936,4.3379
152701483,204.725304,-16.79159325,6340.7964,3.8555
23890534,188.1053429,-9.980169436,,
436577052,172.4687218,-4.857710132,5682.2573,4.2929
270419305,340.4845892,-16.26738208,,
114982350,64.33042213,14.36287246,6180.5796,3.6406
389043261,136.4107378,23.13215597,5856.5234,4.3265
48626245,356.9858379,-7.995604965,4761.598,2.2541
243245686,245.5476452,-28.50856861,,
175591332,229.9994613,-24.92926844,,
15907896,134.0800343,10.26268448,5999.806,4.375
240810478,289.0006147,-28.49608544,,
434097052,353.6855003,-10.93245033,,
48559318,237.8218901,-26.92298843,8985.6875,3.8577
350516141,128.9384124,11.69965719,6104.717,3.9843
108515862,130.9453384,11.92524058,,
436648121,127.2730321,12.20315176,,
226028654,124.8410272,13.05173913,4865.4478,2.4477
369493491,19.91222232,-0.439411141,6534.52,3.9396
49783694,21.42077101,1.996239807,5817.759,3.3389
205711529,358.2051935,-7.918982176,5779.2705,3.9533
436658862,131.1355459,24.73308491,6657.3413,4.1362
380196353,206.4311727,-18.27566573,5947.8003,3.981
82071590,247.5499668,-28.49687492,6741.619,3.9114
459055638,236.8140756,-26.00141074,,
49465016,57.99219894,12.3057058,,
157839328,127.6491862,11.08301418,5675.7256,4.171
434230605,243.2353243,-29.21628674,6588.23,3.5698
293889483,244.0124998,-28.04625185,6116.9683,4.1256
323021930,247.6692437,-27.91492234,6024.183,3.858
388734737,56.39284566,13.15919354,4789.077,4.4797
429301837,72.40394035,14.08534762,,
49783667,58.45771369,12.19858919,4915.1675,2.7321
4602717,55.09872328,12.69479557,,
175697498,203.7226541,-17.0277278,5478.5073,3.0709
67821302,61.33733985,13.86116405,4672.576,1.8298
435340174,74.50739102,15.51442329,8394.651,3.7095
436651183,233.0021811,-26.71054033,5977.9717,3.8621
434367160,231.3625807,-26.39841698,,
68257329,231.5180063,-25.86289305,5514.778,4.2182
366623285,286.5717504,-30.82910023,4921.3345,4.5805
114985116,257.7462424,-30.44440488,7732.615,4.1535
303676798,159.1247139,0.632242813,,
294301568,59.77762966,14.53119618,4934.206,3.0141
444005911,75.1951629,15.76398889,4594.1255,2.3431
176939067,57.03205319,13.92315172,,
435904032,204.5098634,-16.94154576,5437.622,4.3686
415389321,158.754655,0.851084939,4629.6084,2.4184
422327572,18.68051027,0.419884861,5419.809,4.4333
205239231,262.6895986,-29.28795048,,
245823003,156.6443932,2.010745101,5700.501,4.1612
248343096,61.55593598,14.42390493,5283.2637,2.8657
411698132,137.8989729,22.93835447,,
23687243,137.1876589,24.84716327,4511.4033,1.1987
286942732,340.5094249,-15.71330605,4953.438,3.3952
106480753,262.1431945,-29.40946852,8210.68,3.8171
458682748,71.48635843,15.10707338,4730.616,1.9132
245951015,154.862948,3.604317173,5971.5366,4.1443
318435904,236.0426223,-26.1008964,4874.784,4.5918
311148863,179.3778817,-6.512390774,6319.005,4.1049
243007962,339.1113315,-17.46159062,5999.1143,4.0155
422350278,133.8886247,23.78463658,,
12784845,355.5985046,-9.462752462,4842.393,2.6821
205371961,161.7539393,0.068927204,5936.4805,3.9367
458655944,258.630869,-29.10531441,6388.753,3.7474
240720896,153.6602115,3.842039413,5764.02,3.4271
468984206,258.4396206,-30.5845095,5974.786,3.6238
152852456,353.0587863,-11.28535539,5992.459,4.0576
126313893,74.90098001,14.57957944,,
434228822,74.74062507,16.00628544,5617.486,4.5092
336993343,159.281316,1.566170464,5762.8843,4.5173
206546422,230.1270261,-25.98272859,,
388735695,162.815912,0.916416099,,
291160181,339.3237145,-16.9005444,5703.7876,4.2526
436613563,128.8507215,11.6816202,10066.4375,4.1653
157858731,185.9037908,-9.074947848,5238.947,2.9041
366576742,264.5356134,-29.89761581,,
243245859,353.7483548,-9.780335079,4666.4727,2.7908
27679101,339.1249732,-17.77718268,,
323181313,127.2565046,12.05179206,6102.6826,3.6978
82658890,133.3755606,24.73153948,,
30505246,199.5418586,-0.690293865,,
366528716,200.5750954,-15.40986027,5452.9155,4.4326
344299633,19.35348955,0.807237675,5677.0063,4.4356
286362796,76.86766043,15.11000563,5732.8477,4.0711
158345538,249.490939,-28.72255284,6323.287,4.0658
388736238,230.320222,-26.32910919,5378.916,4.564
443970940,236.8252058,-26.14997128,,
48664045,337.379657,-18.02763896,5965.652,4.1464
38143347,77.91011092,16.21014289,5532.967,4.4306
242885753,262.0260108,-30.49317783,5313.6074,4.1562
203378754,266.0966435,-29.77724893,6027.177,4.1793
187145041,357.3975082,-7.799971948,6054.001,3.9721
245835422,74.38914457,14.43205758,,
277888583,230.3010552,-24.95090011,,
409119487,170.3405513,-2.674110588,5890.001,4.1357
269504859,261.4783123,-30.51587608,4692.7764,2.3919
242985215,231.1728301,-24.89558453,,
293610338,227.6173695,-23.97691946,6265.2847,4.1448
138665030,59.61971851,12.32851088,5523.3735,4.2048
240849778,133.319057,25.02683159,6575.587,3.9861
98581371,78.2973682,16.93048634,,
392467554,232.7058867,-25.9818718,5711.3296,4.2483
348662485,135.204321,24.43921718,,
437034592,131.0853028,11.26982488,5542.3667,4.0246
334995011,203.8256739,-2.574673029,5255.476,4.4914
117357818,19.23460246,0.962484657,5028.809,3.5307
374268503,155.5336007,3.669226846,6600.5493,4.0724
49531872,130.1129943,11.36900765,5636.1406,2.9387
336956836,181.9696772,-8.093330506,5840.1973,4.3826
468988512,18.66632167,0.792322659,5965.6777,4.3048
245819967,347.8606894,-11.71221926,5700.404,4.2817
114982307,75.17290149,16.33210159,6975.5713,3.1395
21285586,231.3342098,-25.04828989,4861.576,2.7199
157836816,131.8220401,10.90362918,,
399671028,133.2476455,11.11540854,,
389019257,200.5844516,-2.257661952,5921.801,3.8679
277877407,60.40991925,13.63781595,,
368438572,243.1632899,-29.07364605,,
389083349,246.321585,-29.03830738,4854.1597,2.2359
176910158,59.37828192,13.42722057,,
100423991,130.053759,12.01311176,7186.1865,3.8967
49465009,131.6643454,25.04681481,5806.744,4.2966
23629343,78.74166698,16.06985799,6645.0,4.1569
248354079,140.3782519,21.80138608,5727.9023,4.2507
225797737,249.4691258,-28.04308042,6830.885,3.841
432695129,129.2045453,10.57260322,6160.766,4.0152
23277312,128.2375907,10.77536351,6132.7646,3.6304
83324196,188.7666826,-10.67039368,5869.8457,2.8863
423358377,340.2082864,-15.9306548,4816.149,1.5442
152331739,58.64293296,12.48735539,5609.6924,4.058
157858620,129.0947191,11.95755084,6122.0273,4.1767
435303422,72.50064398,13.6415347,,
110976041,137.3777299,24.34855842,,
66768691,249.7504959,-28.4585674,5696.031,4.3153
85914193,58.27323193,13.94933638,4960.004,4.4651
130691783,261.6540673,-29.66572471,5965.524,3.7722
197135871,65.50903291,14.00442405,7362.7397,3.953
243245620,129.82915,10.24528647,5589.8823,4.4292
389139991,187.9145535,-10.45110241,5907.7017,4.1948
242994339,160.649072,0.278365044,5766.6597,3.7409
444010620,127.7486474,12.08423762,6332.555,4.0713
130718209,262.2429106,-30.42810026,,
153140352,162.6348579,0.884793953,5530.665,4.5539
425606292,245.8971333,-28.53906597,,
293945531,201.3153592,-16.12792951,6201.8564,4.0238
392103860,128.3682823,10.52470456,4664.9766,2.3551
344282983,167.462217,-1.462251911,,
98594426,132.3289563,10.54133177,4821.556,2.5056
9004514,131.0053234,24.90105252,5867.7417,4.1284
60284300,200.7040507,-17.18105316,5725.089,4.1515
242981649,200.0088659,-16.7266149,3560.475,0.7355
114958965,235.6992061,-26.66441742,,
175831181,173.8782687,-3.885530049,4662.168,2.5814
366485066,262.7641643,-30.20159261,4754.0103,2.4465
146579304,201.2495845,-1.148593738,6056.534,4.1156
117506753,58.38829336,11.71110683,5759.108,4.3161
248345142,130.652026,10.09253449,4870.413,2.5014
303596825,259.56922,-29.65433022,,
290055544,22.16175132,1.582397821,,
169683503,230.5027511,-26.05636817,,
444033547,123.2902703,13.64857944,4931.092,2.6497
248343011,70.82765836,16.27196845,7732.7935,4.1243
399722699,341.0978216,-15.80948752,5702.1787,4.1181
206064965,127.7657292,12.15045667,4700.4214,1.8992
85948230,17.38315589,-1.760890923,5371.014,4.5962
117416742,19.69043635,1.234379317,5067.302,3.2437
188569689,353.432066,-11.97801303,8826.604,4.2723
82054765,75.35694587,15.17463076,5865.9385,3.6622
59090570,204.3924109,-16.48227151,,
297142626,71.76846471,15.48800833,6221.577,4.2033
168034867,265.702883,-29.48092501,,
422290301,262.9752205,-30.21983749,7294.221,4.0406
435910961,354.2323687,-11.56964181,5101.533,3.1913
46008951,258.2240566,-31.07669771,6248.5703,4.0593
199398725,293.1518546,-28.05133939,6676.0435,3.9455
115082992,260.747898,-29.96822179,,
46006113,74.77994914,16.04180526,,
303592988,74.71636729,16.58590697,5657.8843,4.0424
203226437,333.1417075,-17.61744845,5189.9395,4.6192
366410730,123.2196129,12.98162331,7523.6006,3.9974
175752826,257.6785313,-29.06873782,5914.698,4.2929
48624601,262.3284037,-29.96011203,16109.207,3.3599
458686781,203.5803253,-1.822910717,5988.1147,4.0756
294301692,261.5471116,-30.25845266,6368.1006,3.6208
115071805,74.95802027,15.35691014,,
318090592,338.6465124,-15.47747465,5563.6665,4.2266
366444455,184.1040254,-9.515925121,4725.246,1.4512
117166266,129.1603972,10.57900488,,
277871061,206.7363648,-18.44048293,5998.65,3.7581
176942888,182.8891344,-9.071836578,5087.4126,3.2453
175698326,134.5719106,23.59878806,,
85979054,200.6240555,-2.287364544,5970.969,4.1985
357446817,63.2465945,14.49459242,,
366499777,126.2453719,13.14806492,6453.685,3.9709
206258576,23.44247254,1.918977349,5699.931,4.1629
0,234.5167171,-26.14698877,,
438167982,126.6719714,12.99941934,,
438164597,289.7641665,-28.72260533,,
308061627,183.7781558,-9.257938015,5620.148,4.0279
438545328,171.2448647,-3.743065156,5958.4805,4.2
46152529,61.64978449,12.84773408,6289.1484,3.9938
117296466,125.9654765,10.23163214,6980.39,4.2208
80347872,256.8684088,-29.57109691,6358.145,4.1068
186690852,257.1535595,-29.23297503,6294.7686,3.8331
366398970,257.0768693,-29.18582535,10501.992,4.0163
422350559,258.905797,-30.78858614,,
386892571,264.8963121,-30.13868752,9129.808,3.8881
411691980,78.91895159,15.81489534,4982.4478,2.9101
38065672,287.4852307,-28.8341436,,
277895116,334.0264241,-17.34029482,5671.2065,4.1104
98591687,340.8775234,-14.90014755,6153.9106,4.2686
48625989,130.1276374,10.74034185,,
66715246,258.2799357,-30.73326261,,
291089814,138.0607271,24.95887469,6151.2627,4.2768
200030321,133.0869251,11.36314814,4879.6196,2.7502
68558574,264.4323725,-29.86171216,7612.853,3.5569
443970140,137.7132429,22.95997325,6529.5317,3.8739
61110114,206.0791659,-17.13814014,6347.989,4.0242
130725369,237.8410042,-26.71651918,6771.363,3.5826
168304823,174.6355082,-4.901341232,,
380674488,75.25160118,15.73832478,4664.203,2.3587
157838205,289.2237923,-28.40621222,4749.0566,2.5816
147815781,261.5172005,-30.6130477,5009.9224,3.3652
355125800,353.4664657,-10.58255946,5936.1025,4.1799
422350480,75.46966047,14.91850001,,
422327929,203.9778057,-3.251150135,5237.4863,2.6639
98642651,14.14681888,-1.303225173,6134.883,4.2651
240849795,235.7724937,-26.62560128,5933.6523,4.2467
38131518,201.445894,-2.021958267,7292.2993,3.5664
