TICID Teff logg
98664556 4201.510700 4.502900
60284406 3700.496000 4.327300
2527561 3421.544000 4.392000
173109331 3991.586200 4.279000
98677199 4029.822300 4.679400
186853232 3648.298800 4.310200
130691883 3486.685300 4.182200
396733648 3830.774000 4.572400
126317117 3771.377000 4.532300
49710987 4209.471000 4.321200
404434391 4159.873000 4.392600
438101944 3805.978000 4.603700
366500042 3648.623300 4.034500
152701780 4197.089000 4.640700
175697440 3701.290500 4.567900
357445986 4199.956000 4.665900
423610835 3762.862800 4.712300
32425847 3524.580800 4.520600
9098086 3473.672600 4.281100
242968769 3548.934000 4.650700
186812773 4171.117000 4.641500
192497869 3724.474000 4.558700
9726864 3904.645300 4.729600
392328956 4213.410600 4.533000
468993012 3761.179400 4.571400
117296362 3876.952600 4.657200
6859688 3885.298300 4.285400
366623403 4238.228500 4.634800
248377917 4097.496000 4.685700
366481074 3738.604700 4.686900
436563193 4103.376000 4.662400
287335599 3822.891600 4.426500
459055908 3707.395500 4.617300
366444549 4181.537600 4.664500
390999942 3791.584200 4.434200
6992442 4228.711400 4.689900
335007805 3786.213600 4.614400
59130344 3502.876000 4.525900
176879166 4016.698200 4.671800
176940571 4238.903300 4.654400
4619653 3764.670700 4.701400
8996075 3468.324000 4.424500
168150585 4189.961400 4.664500
386589191 3524.137700 4.261300
399151986 3802.298300 4.647900
20495115 4198.868000 4.661400
152853776 3191.351800 4.982200
366443626 3667.240500 4.202400
437701420 3790.672600 4.451700
98642922 3477.196500 4.259000
152827677 4105.059000 4.669000
188569782 4183.094000 4.487500
49785569 3477.830300 4.310700
157844152 3858.912000 4.637300
333603079 3650.775100 4.571500
357512699 3526.068800 4.538300
130718161 3796.985400 4.671700
9698999 4190.412000 4.399100
175697359 3739.914600 4.678600
175752341 3467.315000 4.171700
357513885 3423.392800 4.759700
422335187 4235.637700 4.503000
168148783 3695.487800 4.710400
399152135 4166.919400 4.666100
308212384 3930.519800 4.629200
389052579 4173.114300 4.269300
130726366 3997.900000 4.695400
311365639 4089.471200 4.653200
9697936 3882.665000 4.660200
49687126 3534.515000 4.402700
307805449 3705.472700 4.347500
168152477 3824.665300 4.699700
79727868 3476.204000 4.707900
130714159 4121.038600 4.665100
126319289 4213.188500 4.668700
225953216 4201.330600 4.581000
293470795 3433.611000 4.622600
48481424 3869.982000 4.633300
7061049 3827.639600 4.713100
168152423 3672.226800 4.769800
245869914 4190.339000 4.663300
152802543 4077.151100 4.691600
176939228 3921.515100 4.506000
392101639 4163.761700 4.674700
168685417 3656.427200 4.228400
66780141 3974.860000 4.703000
110996515 3588.272200 4.804000
281660002 3826.509300 4.666900
357445854 3609.047600 4.449500
458685787 3548.018600 4.423900
2673117 3375.917700 4.415000
168305231 3514.182400 4.772800
399722684 4210.830000 4.660200
152829072 3607.449000 4.778700
422289950 3410.644300 4.401300
281660401 4183.234400 4.676500
366444703 3525.993400 4.716600
168689077 3726.740200 4.494300
293838206 4184.008300 4.423900
303596329 4226.611300 4.218900
98594419 4054.135300 4.089600
281705977 3951.445300 4.720700
287331740 3863.056000 4.546200
443971059 4112.195300 4.336700
117162537 3838.228000 4.433600
436616166 3709.150100 4.770400
115008454 3359.504000 4.461900
294301951 4170.510300 4.559200
198535645 4165.563000 4.541700
357492916 3679.976300 4.327900
168438330 3636.471200 4.631000
98676149 3799.802500 4.701600
422335343 3990.931000 4.744800
245820082 3563.009300 4.753800
285004644 3533.576000 4.736100
437327178 3799.775400 4.695800
168444570 3379.696800 4.858200
346038051 4019.493000 4.436900
98594317 4136.122000 4.567100
366437895 3548.119900 4.825900
456887882 4165.160600 4.608700
436580913 3795.151600 4.478100
458656077 4242.500500 4.685600
336956845 3596.292700 4.660000
438292042 3699.789300 4.462200
115011160 3777.452100 4.676700
176938833 4160.827600 4.239800
98594327 3645.504000 4.695000
130725501 4001.285600 4.715700
277798951 3846.598100 4.697400
176938775 3515.243700 4.777700
115011285 3525.459200 4.676600
168439939 3541.312700 4.734900
23509027 3748.957000 4.594800
2532126 3654.848000 4.792500
9099012 3548.603000 4.679000
290037621 3704.897000 4.478400
117419304 3517.931000 4.176800
197249205 4156.448700 4.642400
243015214 4135.918000 4.496500
308181178 4124.893000 4.678500
117166224 4211.001000 4.662000
38141851 3747.123800 4.705500
98674039 3556.669400 4.740200
405673100 4033.244000 4.655200
168033046 3796.293500 4.368400
290055373 3776.909000 4.569900
443609287 3572.991000 4.637000
168305494 4205.121600 4.662900
404420997 3551.978800 4.734400
357493222 4182.111300 4.322900
374272821 4014.198500 4.724200
434239028 4136.621600 4.674400
192461080 4216.854000 4.437900
176910328 3755.598400 4.674200
168438827 3509.391600 4.231800
61099118 3474.275400 4.830000
38141949 3402.703600 4.129900
176938792 4226.569300 4.215300
374312254 4112.006000 4.631500
399123943 4123.487300 4.671200
151513759 4210.899400 4.516500
225889510 3516.509800 4.695500
422335428 4223.141600 4.444700
152827696 3686.084500 4.337400
157838189 3802.561300 4.660300
168546043 3732.844000 4.737200
9003347 3900.776000 4.645200
277747956 3442.854200 4.740500
49674937 3827.293000 4.688200
9005861 3698.765600 4.739500
366354428 4196.365700 4.667100
287331845 3663.763400 4.771100
186695916 4061.451000 4.441300
334994926 3389.146500 4.668000
345061487 3511.802500 4.571800
388801896 4211.768600 4.693900
111015006 4144.609400 4.624600
294318508 4249.232000 4.504100
